UTMx512,UTMy361,Z,Longitude,Latitude,Elevation
-1501.009,-6892.925,1205.669,-121.762,45.010,1205.669
-1473.871,-6892.966,1187.733,-121.759,45.010,1187.733
-1446.902,-6893.005,1167.947,-121.757,45.010,1167.947
-1419.764,-6893.044,1152.253,-121.755,45.010,1152.253
-1392.795,-6893.082,1134.673,-121.753,45.010,1134.673
-1365.825,-6893.119,1119.074,-121.751,45.010,1119.074
-1338.688,-6893.156,1110.594,-121.748,45.010,1110.594
-1311.718,-6893.191,1100.952,-121.746,45.010,1100.952
-1284.580,-6893.227,1093.512,-121.744,45.010,1093.512
-1257.611,-6893.261,1099.970,-121.742,45.010,1099.970
-1230.473,-6893.295,1104.594,-121.740,45.010,1104.594
-1203.504,-6893.328,1096.494,-121.738,45.010,1096.494
-1176.535,-6893.359,1086.972,-121.735,45.010,1086.972
-1149.397,-6893.391,1081.085,-121.733,45.010,1081.085
-1122.259,-6893.422,1080.954,-121.731,45.010,1080.954
-1095.290,-6893.452,1085.253,-121.729,45.010,1085.253
-1068.320,-6893.481,1085.195,-121.727,45.010,1085.195
-1041.182,-6893.510,1082.291,-121.724,45.010,1082.291
-1014.213,-6893.538,1075.964,-121.722,45.010,1075.964
-987.076,-6893.564,1072.379,-121.720,45.010,1072.379
-960.106,-6893.591,1074.761,-121.718,45.010,1074.761
-932.968,-6893.617,1077.347,-121.716,45.010,1077.347
-905.999,-6893.641,1079.213,-121.713,45.010,1079.213
-879.030,-6893.666,1080.745,-121.711,45.010,1080.745
-851.892,-6893.689,1081.732,-121.709,45.010,1081.732
-824.923,-6893.711,1078.380,-121.707,45.010,1078.380
-797.785,-6893.733,1068.546,-121.705,45.010,1068.546
-770.647,-6893.755,1068.451,-121.702,45.010,1068.451
-743.678,-6893.775,1071.113,-121.700,45.010,1071.113
-716.708,-6893.795,1069.508,-121.698,45.010,1069.508
-689.739,-6893.814,1069.256,-121.696,45.010,1069.256
-662.601,-6893.832,1064.966,-121.694,45.010,1064.966
-635.464,-6893.850,1059.761,-121.692,45.010,1059.761
-608.494,-6893.867,1061.954,-121.689,45.010,1061.954
-581.525,-6893.883,1064.754,-121.687,45.010,1064.754
-554.387,-6893.898,1061.180,-121.685,45.010,1061.180
-527.418,-6893.913,1063.828,-121.683,45.010,1063.828
-500.280,-6893.927,1069.717,-121.681,45.010,1069.717
-473.311,-6893.940,1074.755,-121.678,45.010,1074.755
-446.173,-6893.952,1079.202,-121.676,45.010,1079.202
-419.204,-6893.964,1074.677,-121.674,45.010,1074.677
-392.234,-6893.975,1065.260,-121.672,45.010,1065.260
-365.097,-6893.985,1058.385,-121.670,45.010,1058.385
-338.127,-6893.995,1051.296,-121.667,45.010,1051.296
-310.989,-6894.003,1047.691,-121.665,45.010,1047.691
-283.852,-6894.012,1053.848,-121.663,45.010,1053.848
-256.882,-6894.019,1052.067,-121.661,45.010,1052.067
-229.913,-6894.025,1043.809,-121.659,45.010,1043.809
-202.944,-6894.032,1037.353,-121.656,45.010,1037.353
-175.806,-6894.037,1023.274,-121.654,45.010,1023.274
-148.668,-6894.041,1002.538,-121.652,45.010,1002.538
-121.699,-6894.044,1002.772,-121.650,45.010,1002.772
-94.561,-6894.047,1028.956,-121.648,45.010,1028.956
-67.592,-6894.050,1034.217,-121.645,45.010,1034.217
-40.622,-6894.051,1025.864,-121.643,45.010,1025.864
-13.485,-6894.052,1011.233,-121.641,45.010,1011.233
13.485,-6894.052,981.620,-121.639,45.010,981.620
40.622,-6894.051,981.440,-121.637,45.010,981.440
67.592,-6894.050,998.933,-121.635,45.010,998.933
94.561,-6894.047,1010.413,-121.632,45.010,1010.413
121.699,-6894.044,996.581,-121.630,45.010,996.581
148.668,-6894.041,987.606,-121.628,45.010,987.606
175.806,-6894.037,1001.787,-121.626,45.010,1001.787
202.944,-6894.032,1019.802,-121.624,45.010,1019.802
229.913,-6894.025,1047.597,-121.621,45.010,1047.597
256.882,-6894.019,1076.739,-121.619,45.010,1076.739
284.020,-6894.012,1099.299,-121.617,45.010,1099.299
310.989,-6894.003,1121.595,-121.615,45.010,1121.595
338.127,-6893.995,1133.441,-121.613,45.010,1133.441
365.097,-6893.985,1113.488,-121.610,45.010,1113.488
392.234,-6893.975,1096.171,-121.608,45.010,1096.171
419.204,-6893.964,1093.266,-121.606,45.010,1093.266
446.173,-6893.952,1100.512,-121.604,45.010,1100.512
473.311,-6893.940,1118.524,-121.602,45.010,1118.524
500.449,-6893.927,1134.701,-121.599,45.010,1134.701
527.418,-6893.913,1135.931,-121.597,45.010,1135.931
554.387,-6893.898,1118.621,-121.595,45.010,1118.621
581.525,-6893.883,1096.291,-121.593,45.010,1096.291
608.494,-6893.867,1074.667,-121.591,45.010,1074.667
635.632,-6893.850,1063.288,-121.588,45.010,1063.288
662.601,-6893.832,1098.937,-121.586,45.010,1098.937
689.739,-6893.814,1148.042,-121.584,45.010,1148.042
716.708,-6893.795,1174.001,-121.582,45.010,1174.001
743.678,-6893.775,1162.482,-121.580,45.010,1162.482
770.816,-6893.755,1130.980,-121.578,45.010,1130.980
797.785,-6893.733,1091.931,-121.575,45.010,1091.931
824.923,-6893.711,1050.437,-121.573,45.010,1050.437
851.892,-6893.689,1011.479,-121.571,45.010,1011.479
879.030,-6893.666,982.010,-121.569,45.010,982.010
905.999,-6893.641,960.153,-121.567,45.010,960.153
932.968,-6893.617,942.667,-121.564,45.010,942.667
960.106,-6893.591,927.943,-121.562,45.010,927.943
987.244,-6893.564,911.819,-121.560,45.010,911.819
1014.213,-6893.538,895.118,-121.558,45.010,895.118
1041.182,-6893.510,880.285,-121.556,45.010,880.285
1068.320,-6893.481,865.666,-121.553,45.010,865.666
1095.290,-6893.452,851.705,-121.551,45.010,851.705
1122.427,-6893.422,838.858,-121.549,45.010,838.858
1149.397,-6893.391,830.490,-121.547,45.010,830.490
1176.535,-6893.359,824.388,-121.545,45.010,824.388
1203.504,-6893.328,817.004,-121.542,45.010,817.004
1230.473,-6893.295,811.066,-121.540,45.010,811.066
1257.611,-6893.261,806.626,-121.538,45.010,806.626
1284.580,-6893.227,804.302,-121.536,45.010,804.302
1311.718,-6893.191,800.187,-121.534,45.010,800.187
1338.688,-6893.156,796.737,-121.532,45.010,796.737
1365.825,-6893.119,796.929,-121.529,45.010,796.929
1392.795,-6893.082,799.910,-121.527,45.010,799.910
1419.764,-6893.044,801.871,-121.525,45.010,801.871
1446.902,-6893.005,799.751,-121.523,45.010,799.751
1474.040,-6892.965,800.289,-121.521,45.010,800.289
1501.009,-6892.925,803.040,-121.518,45.010,803.040
1527.978,-6892.884,804.150,-121.516,45.010,804.150
1555.116,-6892.842,800.892,-121.514,45.010,800.892
1582.085,-6892.800,794.763,-121.512,45.010,794.763
1609.223,-6892.756,785.921,-121.510,45.010,785.921
1636.192,-6892.713,777.571,-121.507,45.010,777.571
1663.330,-6892.668,769.351,-121.505,45.010,769.351
1690.299,-6892.623,765.216,-121.503,45.010,765.216
1717.269,-6892.577,762.834,-121.501,45.010,762.834
1744.406,-6892.530,761.626,-121.499,45.010,761.626
1771.376,-6892.483,775.425,-121.496,45.010,775.425
1798.514,-6892.434,793.659,-121.494,45.010,793.659
1825.483,-6892.385,810.141,-121.492,45.010,810.141
1852.621,-6892.335,816.660,-121.490,45.010,816.660
1879.590,-6892.285,819.533,-121.488,45.010,819.533
1906.559,-6892.234,821.253,-121.485,45.010,821.253
1933.697,-6892.182,821.111,-121.483,45.010,821.111
1960.835,-6892.129,820.439,-121.481,45.010,820.439
1987.804,-6892.076,818.609,-121.479,45.010,818.609
2014.774,-6892.022,815.458,-121.477,45.010,815.458
2041.911,-6891.967,813.342,-121.475,45.010,813.342
2068.881,-6891.911,813.178,-121.472,45.010,813.178
2096.018,-6891.854,814.613,-121.470,45.010,814.613
2122.988,-6891.798,815.884,-121.468,45.010,815.884
2150.125,-6891.740,816.034,-121.466,45.010,816.034
2177.095,-6891.681,816.990,-121.464,45.010,816.990
2204.064,-6891.622,817.410,-121.461,45.010,817.410
2231.202,-6891.562,816.054,-121.459,45.010,816.054
2258.171,-6891.501,815.769,-121.457,45.010,815.769
2285.309,-6891.439,815.362,-121.455,45.010,815.362
2312.278,-6891.378,812.329,-121.453,45.010,812.329
2339.416,-6891.314,812.635,-121.450,45.010,812.635
2366.385,-6891.251,813.539,-121.448,45.010,813.539
2393.355,-6891.187,814.442,-121.446,45.010,814.442
2420.492,-6891.122,814.242,-121.444,45.010,814.242
2447.630,-6891.056,812.290,-121.442,45.010,812.290
2474.600,-6890.989,813.780,-121.439,45.010,813.780
2501.569,-6890.922,817.470,-121.437,45.010,817.470
2528.707,-6890.854,818.295,-121.435,45.010,818.295
2555.676,-6890.785,816.291,-121.433,45.010,816.291
2582.814,-6890.715,810.663,-121.431,45.010,810.663
2609.783,-6890.645,796.284,-121.428,45.010,796.284
2636.921,-6890.574,794.039,-121.426,45.010,794.039
2663.890,-6890.503,806.560,-121.424,45.010,806.560
2690.860,-6890.431,824.589,-121.422,45.010,824.589
2717.997,-6890.357,849.859,-121.420,45.010,849.859
2745.135,-6890.283,871.021,-121.418,45.010,871.021
2772.104,-6890.208,880.795,-121.415,45.010,880.795
2799.074,-6890.133,888.130,-121.413,45.010,888.130
2826.211,-6890.057,897.133,-121.411,45.010,897.133
2853.181,-6889.980,919.513,-121.409,45.010,919.513
2880.319,-6889.902,961.832,-121.407,45.010,961.832
2907.288,-6889.824,997.983,-121.404,45.010,997.983
2934.426,-6889.745,1020.884,-121.402,45.010,1020.884
2961.395,-6889.666,1018.133,-121.400,45.010,1018.133
2988.364,-6889.585,974.095,-121.398,45.010,974.095
3015.502,-6889.504,958.812,-121.396,45.010,958.812
3042.471,-6889.422,955.345,-121.393,45.010,955.345
3069.609,-6889.339,945.633,-121.391,45.010,945.633
3096.747,-6889.255,952.869,-121.389,45.010,952.869
3123.717,-6889.171,952.262,-121.387,45.010,952.262
3150.686,-6889.087,941.423,-121.385,45.010,941.423
3177.655,-6889.001,943.166,-121.382,45.010,943.166
3204.793,-6888.915,946.309,-121.380,45.010,946.309
3231.931,-6888.827,941.568,-121.378,45.010,941.568
3258.900,-6888.740,939.965,-121.376,45.010,939.965
3285.869,-6888.652,937.226,-121.374,45.010,937.226
3313.007,-6888.562,924.303,-121.372,45.010,924.303
3339.976,-6888.473,903.806,-121.369,45.010,903.806
3367.114,-6888.381,886.088,-121.367,45.010,886.088
3394.083,-6888.290,868.524,-121.365,45.010,868.524
3421.221,-6888.198,868.930,-121.363,45.010,868.930
3448.191,-6888.105,877.992,-121.361,45.010,877.992
3475.160,-6888.011,868.439,-121.358,45.010,868.439
3502.298,-6887.917,855.313,-121.356,45.010,855.313
3529.267,-6887.822,857.574,-121.354,45.010,857.574
3556.405,-6887.726,880.938,-121.352,45.010,880.938
3583.542,-6887.629,911.190,-121.350,45.010,911.190
3610.512,-6887.532,902.240,-121.347,45.010,902.240
3637.481,-6887.434,867.195,-121.345,45.010,867.195
3664.450,-6887.335,845.759,-121.343,45.010,845.759
3691.588,-6887.236,832.529,-121.341,45.010,832.529
3718.726,-6887.135,833.242,-121.339,45.010,833.242
3745.695,-6887.035,829.785,-121.336,45.010,829.785
3772.833,-6886.933,818.651,-121.334,45.010,818.651
3799.803,-6886.830,810.942,-121.332,45.010,810.942
3826.772,-6886.727,810.060,-121.330,45.010,810.060
3853.910,-6886.623,810.619,-121.328,45.010,810.619
3880.879,-6886.519,812.356,-121.325,45.010,812.356
3908.017,-6886.413,814.291,-121.323,45.010,814.291
3934.986,-6886.307,814.410,-121.321,45.010,814.410
3961.956,-6886.201,817.424,-121.319,45.010,817.424
3989.093,-6886.093,819.002,-121.317,45.010,819.002
4016.062,-6885.985,816.984,-121.315,45.010,816.984
4043.200,-6885.875,819.219,-121.312,45.010,819.219
4070.338,-6885.765,821.686,-121.310,45.010,821.686
4097.307,-6885.655,828.181,-121.308,45.010,828.181
